node_id,tool_name,tool_id,content_id,tool_version,repo_name,repo_owner,repo_tool_shed,repo_changeset_revision
n_bandage_image,Bandage Image,toolshed.g2.bx.psu.edu/repos/iuc/bandage/bandage_image/0.8.1+galaxy2,toolshed.g2.bx.psu.edu/repos/iuc/bandage/bandage_image/0.8.1+galaxy2,,bandage,iuc,toolshed.g2.bx.psu.edu,b2860df42e16
n_bandage_info,Bandage Info,toolshed.g2.bx.psu.edu/repos/iuc/bandage/bandage_info/0.8.1+galaxy1,toolshed.g2.bx.psu.edu/repos/iuc/bandage/bandage_info/0.8.1+galaxy1,,bandage,iuc,toolshed.g2.bx.psu.edu,b2860df42e16
n_bowtie2,Bowtie2,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.4.3+galaxy0,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.4.3+galaxy0,2.3.4.3+galaxy0,bowtie2,devteam,toolshed.g2.bx.psu.edu,749c918495f7
n_call_variants,Call variants,toolshed.g2.bx.psu.edu/repos/iuc/lofreq_call/lofreq_call/2.1.3.1+galaxy0|toolshed.g2.bx.psu.edu/repos/iuc/lofreq_call/lofreq_call/2.1.3.1+galaxy1,toolshed.g2.bx.psu.edu/repos/iuc/lofreq_call/lofreq_call/2.1.3.1+galaxy0|toolshed.g2.bx.psu.edu/repos/iuc/lofreq_call/lofreq_call/2.1.3.1+galaxy1,2.1.3.1+galaxy0|2.1.3.1+galaxy1,lofreq_call,iuc,toolshed.g2.bx.psu.edu,03627f24605f|dfadc322b065
n_collapse_collection,Collapse Collection,toolshed.g2.bx.psu.edu/repos/nml/collapse_collections/collapse_dataset/4.1,toolshed.g2.bx.psu.edu/repos/nml/collapse_collections/collapse_dataset/4.1,4.1,collapse_collections,nml,toolshed.g2.bx.psu.edu,33151a38533a
n_convert,Convert,Convert characters1,Convert characters1,1.0.0,,,,
n_create_assemblies_with_unicycler,Create assemblies with Unicycler,toolshed.g2.bx.psu.edu/repos/iuc/unicycler/unicycler/0.4.6.0,toolshed.g2.bx.psu.edu/repos/iuc/unicycler/unicycler/0.4.6.0,,unicycler,iuc,toolshed.g2.bx.psu.edu,23300b42ca18
n_cut,Cut,Cut1,Cut1,1.0.2,,,,
n_fasttree,FASTTREE,toolshed.g2.bx.psu.edu/repos/iuc/fasttree/fasttree/2.1.10+galaxy1,toolshed.g2.bx.psu.edu/repos/iuc/fasttree/fasttree/2.1.10+galaxy1,2.1.10+galaxy1,fasttree,iuc,toolshed.g2.bx.psu.edu,e005e659ae21
n_fastqc,FastQC,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.72|toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.72+galaxy1,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.72|toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.72+galaxy1,0.72|0.72+galaxy1,fastqc,devteam,toolshed.g2.bx.psu.edu,3e1cdf5406db|e7b2202befea
n_faster_download_and_extract_reads_in_fastq,Faster Download and Extract Reads in FASTQ,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fasterq_dump/2.10.4+galaxy1,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fasterq_dump/2.10.4+galaxy1,2.10.4+galaxy1,sra_tools,iuc,toolshed.g2.bx.psu.edu,aad3885b3216
n_filter_sam_or_bam_output_sam_or_bam,"Filter SAM or BAM, output SAM or BAM",toolshed.g2.bx.psu.edu/repos/devteam/samtool_filter2/samtool_filter2/1.8|toolshed.g2.bx.psu.edu/repos/devteam/samtool_filter2/samtool_filter2/1.8+galaxy1,toolshed.g2.bx.psu.edu/repos/devteam/samtool_filter2/samtool_filter2/1.8|toolshed.g2.bx.psu.edu/repos/devteam/samtool_filter2/samtool_filter2/1.8+galaxy1,1.8|1.8+galaxy1,samtool_filter2,devteam,toolshed.g2.bx.psu.edu,56c31114ad4a|649a225999a5
