case_id,type,candidate_count,parse_success_count,baseline_exact,baseline_node_f1,baseline_edge_f1,baseline_arg_value_f1,baseline_quality_score,oracle_quality_best_source,oracle_quality_best_family,oracle_quality_best_node_f1,oracle_quality_best_edge_f1,oracle_quality_best_arg_value_f1,oracle_quality_best_score,oracle_node_best_family,oracle_node_best_node_f1,oracle_node_best_quality_score,oracle_edge_best_family,oracle_edge_best_edge_f1,oracle_edge_best_quality_score,combined_quality_best_source,combined_quality_best_family,combined_quality_best_score,combined_node_best_source,combined_node_best_family,combined_node_best_node_f1,combined_edge_best_source,combined_edge_best_family,combined_edge_best_edge_f1,quality_gain_vs_baseline,combined_quality_gain_vs_baseline,node_gain_vs_baseline,combined_node_gain_vs_baseline,edge_gain_vs_baseline,combined_edge_gain_vs_baseline,unique_workflow_count,unique_structure_count,unique_node_sequence_count,mean_pairwise_structure_distance,candidates_equal_baseline,structures_equal_baseline,baseline_nodes,oracle_quality_best_nodes,combined_quality_best_nodes
10135093,chain,5,5,False,0.6666666666666666,0.0,0.3333333333333333,0.18518518518518517,candidate,minimal,0.6666666666666666,0.0,0.3333333333333333,0.18518518518518517,minimal,0.6666666666666666,0.18518518518518517,minimal,0.0,0.18518518518518517,baseline,baseline,0.18518518518518517,baseline,baseline,0.6666666666666666,baseline,baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,5,5,Keyword Extractor -> Text Search -> Text Downloader,Keyword Extractor -> Text Search -> Text Downloader,Keyword Extractor -> Text Search -> Text Downloader
10341217,single,5,2,True,1.0,,1.0,1.0,candidate,minimal,1.0,,1.0,1.0,minimal,1.0,1.0,,,,baseline,baseline,1.0,baseline,baseline,1.0,,,,0.0,0.0,0.0,0.0,,,2,2,2,0.6,2,2,Topic Generator,Topic Generator,Topic Generator
10380769,single,5,5,True,1.0,,1.0,1.0,candidate,minimal,1.0,,1.0,1.0,minimal,1.0,1.0,,,,baseline,baseline,1.0,baseline,baseline,1.0,,,,0.0,0.0,0.0,0.0,,,1,1,1,0.0,5,5,Image Search,Image Search,Image Search
11307128,dag,5,5,False,1.0,1.0,1.0,0.5555555555555556,candidate,minimal,1.0,1.0,1.0,0.5555555555555556,minimal,1.0,0.5555555555555556,minimal,1.0,0.5555555555555556,baseline,baseline,0.5555555555555556,baseline,baseline,1.0,baseline,baseline,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,5,5,Audio Splicer -> Audio-to-Text -> Audio-to-Image,Audio Splicer -> Audio-to-Text -> Audio-to-Image,Audio Splicer -> Audio-to-Text -> Audio-to-Image
11425996,chain,5,5,False,1.0,0.75,0.8333333333333334,0.48148148148148145,candidate,minimal,1.0,0.75,0.8333333333333334,0.48148148148148145,minimal,1.0,0.48148148148148145,minimal,0.75,0.48148148148148145,baseline,baseline,0.48148148148148145,baseline,baseline,1.0,baseline,baseline,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,5,5,Image Stitcher -> Image Colorizer -> Image Search (by Image) -> Image-to-Video,Image Stitcher -> Image Colorizer -> Image Search (by Image) -> Image-to-Video,Image Stitcher -> Image Colorizer -> Image Search (by Image) -> Image-to-Video
11988217,chain,5,5,False,0.4,0.0,0.0,0.08888888888888889,candidate,minimal,0.4,0.0,0.0,0.08888888888888889,minimal,0.4,0.08888888888888889,minimal,0.0,0.08888888888888889,baseline,baseline,0.08888888888888889,baseline,baseline,0.4,baseline,baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,0,5,Text Summarizer -> Text-to-Audio,Text Summarizer -> Text-to-Audio,Text Summarizer -> Text-to-Audio
13018270,dag,5,5,False,0.8,1.0,0.6666666666666665,0.4740740740740741,candidate,minimal,0.8,1.0,0.6666666666666665,0.4740740740740741,minimal,0.8,0.4740740740740741,minimal,1.0,0.4740740740740741,baseline,baseline,0.4740740740740741,baseline,baseline,0.8,baseline,baseline,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,0.19999999999999998,2,2,Audio Splicer -> Audio Effects,Audio Splicer -> Audio Effects,Audio Splicer -> Audio Effects
13317513,single,5,5,True,1.0,,1.0,1.0,candidate,minimal,1.0,,1.0,1.0,minimal,1.0,1.0,,,,baseline,baseline,1.0,baseline,baseline,1.0,,,,0.0,0.0,0.0,0.0,,,1,1,1,0.0,5,5,Article Spinner,Article Spinner,Article Spinner
13572453,chain,5,5,True,1.0,1.0,1.0,1.0,candidate,minimal,1.0,1.0,1.0,1.0,minimal,1.0,1.0,minimal,1.0,1.0,baseline,baseline,1.0,baseline,baseline,1.0,baseline,baseline,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,5,5,Audio Effects -> Audio-to-Image -> Image Search (by Image),Audio Effects -> Audio-to-Image -> Image Search (by Image),Audio Effects -> Audio-to-Image -> Image Search (by Image)
13802119,single,5,5,False,1.0,,0.0,0.4444444444444444,candidate,minimal,1.0,,0.0,0.4444444444444444,minimal,1.0,0.4444444444444444,,,,baseline,baseline,0.4444444444444444,baseline,baseline,1.0,,,,0.0,0.0,0.0,0.0,,,1,1,1,0.0,5,5,Keyword Extractor,Keyword Extractor,Keyword Extractor
