case_id,candidate_count,unique_candidate_count,selected_family,oracle_best_family,selected_score,oracle_score,regret
16097613,6,1,original,original,1.0,1.0,0.0
25866928,6,2,original,original,0.5333333333333333,0.5333333333333333,0.0
36690562,6,1,original,original,0.4841269841269841,0.4841269841269841,0.0
29292224,6,3,original,minimal,0.41077441077441074,0.43097643097643096,0.02020202020202022
27258164,6,1,original,original,0.3333333333333333,0.3333333333333333,0.0
88388827,6,1,original,original,0.38941798941798944,0.38941798941798944,0.0
27780863,6,1,original,original,0.45370370370370366,0.45370370370370366,0.0
15307439,6,1,original,original,0.5396825396825397,0.5396825396825397,0.0
13018270,6,1,original,original,0.4740740740740741,0.4740740740740741,0.0
46051366,6,1,original,original,0.22883597883597886,0.22883597883597886,0.0
30934207,6,1,original,original,1.0,1.0,0.0
60932031,6,4,original,minimal,0.41975308641975306,0.4444444444444444,0.024691358024691357
40313104,6,1,original,original,1.0,1.0,0.0
11425996,6,1,original,original,0.48148148148148145,0.48148148148148145,0.0
13864445,6,1,original,original,1.0,1.0,0.0
11988217,6,1,original,original,0.07407407407407407,0.07407407407407407,0.0
31733796,6,1,original,original,1.0,1.0,0.0
24192922,6,2,original,minimal,0.2839506172839506,0.3576719576719577,0.0737213403880071
26103736,6,1,original,original,1.0,1.0,0.0
26034796,6,1,original,original,0.26102292768959434,0.26102292768959434,0.0
10135093,6,2,dependency_first,dependency_first,0.3111111111111111,0.3111111111111111,0.0
19690344,6,1,original,original,0.5185185185185186,0.5185185185185186,0.0
15414201,6,1,original,original,0.10185185185185185,0.10185185185185185,0.0
96133316,6,1,original,original,0.2222222222222222,0.2222222222222222,0.0
28319577,6,1,original,original,0.05555555555555555,0.05555555555555555,0.0
13317513,6,1,original,original,1.0,1.0,0.0
10341217,6,1,original,original,1.0,1.0,0.0
87050118,6,1,original,original,0.4444444444444444,0.4444444444444444,0.0
18153929,6,1,original,original,0.2222222222222222,0.2222222222222222,0.0
13572453,6,1,original,original,1.0,1.0,0.0
21047396,6,2,original,original,0.5333333333333333,0.5333333333333333,0.0
23427738,6,1,original,original,0.4444444444444444,0.4444444444444444,0.0
31893844,6,2,original,action_coverage,0.2822510822510822,0.4062850729517396,0.1240339907006574
51891536,6,1,original,original,1.0,1.0,0.0
10380769,6,1,original,original,0.4444444444444444,0.4444444444444444,0.0
26171658,6,1,original,original,0.4444444444444444,0.4444444444444444,0.0
13802119,6,1,original,original,0.4444444444444444,0.4444444444444444,0.0
31310133,6,1,original,original,0.4444444444444444,0.4444444444444444,0.0
16470663,6,1,original,original,0.4444444444444444,0.4444444444444444,0.0
13917832,6,1,original,original,1.0,1.0,0.0
25051013,6,1,original,original,1.0,1.0,0.0
30872064,6,1,original,original,0.4444444444444444,0.4444444444444444,0.0
23756502,6,1,original,original,1.0,1.0,0.0
11307128,6,1,original,original,0.5555555555555556,0.5555555555555556,0.0
14570693,6,1,original,original,0.5185185185185186,0.5185185185185186,0.0
24402294,6,1,original,original,0.24518691185357847,0.24518691185357847,0.0
,
