Tag,Label,SuccessfulPredictions,ValidationFailures,Single_nF1,Single_eF1,Single_NED,Chain_nF1,Chain_eF1,Chain_NED,DAG_nF1,DAG_eF1,DAG_NED,Overall_nF1,Overall_eF1,Overall_NED
A,original_single,18,2,100.0,,0.0,88.64,60.32,17.17,91.67,82.35,10.37,89.83,65.0,13.18
B,multi_first_original,18,2,100.0,,0.0,91.11,65.62,15.52,95.65,87.5,6.67,92.44,70.0,11.46
C,multi_rerank_only,19,1,85.71,0.0,11.11,86.6,60.87,19.53,95.65,87.5,6.67,88.19,65.12,16.17
D,multi_rerank_verifier_repair,18,2,85.71,0.0,11.11,92.31,67.69,15.24,91.67,77.78,10.37,91.8,69.05,13.74
E,multi_rerank_verifier_repair_memory,18,2,100.0,,0.0,82.0,56.34,22.89,93.33,80.0,10.0,84.3,59.26,17.65
F,original_first_verifier_fallback,19,1,100.0,,0.0,85.42,61.76,19.13,95.65,87.5,6.67,88.0,66.67,14.14
G,original_dependency_filter_first_valid,18,0,100.0,,0.0,88.64,60.32,19.03,95.65,87.5,6.67,90.6,65.82,13.8
H,multi_first_original_nearest_valid_grounding,18,2,100.0,,0.0,87.36,70.97,18.18,95.65,84.21,12.22,89.66,73.42,13.97
H2,multi_first_original_semantic_edge_grounding,18,2,100.0,,0.0,88.64,66.67,15.66,95.65,87.5,11.11,90.6,70.89,12.29
H2A,multi_first_original_semantic_edge_grounding_nearest_priority,18,2,100.0,,0.0,88.64,63.49,19.78,95.65,82.35,11.11,90.6,67.5,15.04
H2B,multi_first_original_semantic_edge_grounding_semantic_priority,18,2,100.0,,0.0,88.64,61.29,19.03,95.65,87.5,11.11,90.6,66.67,14.54
A,original_single,46,4,91.89,,10.53,86.96,57.63,20.98,83.33,75.0,28.89,87.18,60.56,17.52
B,multi_first_original,46,4,91.89,,10.53,89.44,62.18,18.05,85.71,78.26,26.67,89.27,64.79,15.88
H,multi_first_original_nearest_valid_grounding,46,4,91.89,,10.53,88.05,61.54,19.56,85.71,63.64,29.0,88.31,61.87,16.85
H2,multi_first_original_semantic_edge_grounding,46,4,91.89,,10.53,87.34,60.18,19.59,85.71,81.82,26.67,87.83,63.7,16.62
,,,,,
I,structure_aware_grounding,46,4,91.89,,10.53,86.96,56.41,20.98,85.71,81.82,24.0,87.55,60.43,16.99
,,,,,,,,,,,
J,strict_prompt_action_checklist_parameter_normalization,46,4,91.89,,10.53,87.34,62.61,19.09,85.71,81.82,24.0,87.83,65.69,16.09
K,multi_first_original_strict_prompt_action_checklist_parameter_normalization,45,5,91.89,,10.53,88.16,62.5,19.37,85.71,78.26,26.67,88.39,65.19,16.45
O,orthogonal_prompt_candidates,46,4,91.89,,10.53,87.50,62.07,19.47,85.71,63.64,29.00,87.93,62.32,16.81
O_oracle,orthogonal_prompt_candidates_oracle_best_family,46,4,91.89,,10.53,88.75,63.25,18.54,85.71,63.64,29.00,88.79,63.31,16.37
O2,orthogonal_prompt_candidates_v2,46,4,91.89,,10.53,87.50,58.12,19.56,85.71,63.64,29.00,87.93,58.99,16.86
O2_oracle,orthogonal_prompt_candidates_v2_oracle_best_family,46,4,91.89,,10.53,88.75,66.67,17.22,85.71,81.82,24.00,88.79,69.06,15.19
